           5          10          81         255  ! atoms, atom pairs, groups/coefficients, terms
    TERM   GROUP : EXPONENTS
       1       1 :        0       0       0       0       0       0       0       0       0       0
       2       2 :        0       0       0       0       0       0       0       0       1       0
       3       3 :        0       0       0       0       0       0       0       0       1       1
       4       4 :        0       0       0       0       0       0       0       0       1       2
       5       5 :        0       0       0       0       0       0       0       0       2       0
       6       6 :        0       0       0       0       0       0       0       0       2       1
       7       7 :        0       0       0       0       0       0       0       0       3       0
       8       2 :        0       0       0       0       0       0       0       1       0       0
       9       3 :        0       0       0       0       0       0       0       1       0       1
      10       4 :        0       0       0       0       0       0       0       1       0       2
      11       8 :        0       0       0       0       0       0       0       1       1       0
      12       9 :        0       0       0       0       0       0       0       1       1       1
      13      10 :        0       0       0       0       0       0       0       1       2       0
      14       5 :        0       0       0       0       0       0       0       2       0       0
      15       6 :        0       0       0       0       0       0       0       2       0       1
      16      10 :        0       0       0       0       0       0       0       2       1       0
      17       7 :        0       0       0       0       0       0       0       3       0       0
      18      11 :        0       0       0       0       0       0       1       0       0       0
      19      12 :        0       0       0       0       0       0       1       0       0       1
      20      13 :        0       0       0       0       0       0       1       0       0       2
      21      14 :        0       0       0       0       0       0       1       0       1       0
      22      15 :        0       0       0       0       0       0       1       0       1       1
      23      16 :        0       0       0       0       0       0       1       0       2       0
      24      17 :        0       0       0       0       0       0       1       1       0       0
      25      18 :        0       0       0       0       0       0       1       1       0       1
      26      19 :        0       0       0       0       0       0       1       1       1       0
      27      20 :        0       0       0       0       0       0       1       2       0       0
      28      21 :        0       0       0       0       0       0       2       0       0       0
      29      22 :        0       0       0       0       0       0       2       0       0       1
      30      23 :        0       0       0       0       0       0       2       0       1       0
      31      24 :        0       0       0       0       0       0       2       1       0       0
      32      25 :        0       0       0       0       0       0       3       0       0       0
      33      11 :        0       0       0       0       0       1       0       0       0       0
      34      12 :        0       0       0       0       0       1       0       0       0       1
      35      13 :        0       0       0       0       0       1       0       0       0       2
      36      17 :        0       0       0       0       0       1       0       0       1       0
      37      18 :        0       0       0       0       0       1       0       0       1       1
      38      20 :        0       0       0       0       0       1       0       0       2       0
      39      14 :        0       0       0       0       0       1       0       1       0       0
      40      15 :        0       0       0       0       0       1       0       1       0       1
      41      19 :        0       0       0       0       0       1       0       1       1       0
      42      16 :        0       0       0       0       0       1       0       2       0       0
      43      26 :        0       0       0       0       0       1       1       0       0       0
      44      27 :        0       0       0       0       0       1       1       0       0       1
      45      28 :        0       0       0       0       0       1       1       0       1       0
      46      28 :        0       0       0       0       0       1       1       1       0       0
